X.SampleID	elevation	AGE	Temperature	Precipitation3Days	INBREDS	Maize_Line
11116.U521A61.1194655	222.59	12	76.0	0.14	CML333	Tropical
11116.I04A098.1194647	120.16	13	68.3	0.07	Oh43	Non_Stiff_Stalk
11116.L25A092.1195212	260.1	11	76.2	0.21	P39	Sweet_Corn
11116.I21A084.1196656	120.16	8	73.2	0.09	NC358	Tropical
11116.I19A074.1193772	120.16	5	67.7	0.07	CML69	Tropical
11116.L05A067.1196188	260.1	3	54.5	0.91	Mo18W	Mixed
11116.I13A074.1193644	120.16	5	67.7	0.07	Mo18W	Mixed
11116.I19A084.1194804	120.16	8	73.2	0.09	CML69	Tropical
11116.L14A090.1194316	260.1	10	69.5	0.12	Tzi8	Tropical
11116.A28A067.1194473	125.86	3	54.5	0.91	Mo17	Non_Stiff_Stalk
11116.C25A65.1197173	237.63	12	76.0	0.14	NC350	Tropical
11116.L27A070.1195761	260.1	4	64.8	0.4	CML333	Tropical
11116.I25A085.1196092	120.16	9	71.2	0.03	P39	Sweet_Corn
11116.L12A090.1194257	260.1	10	69.5	0.12	B73	Stiff_Stalk
11116.I29A080.1195338	120.16	7	80.0	0.0	CML322	Tropical
